Variable,Etiqueta
resultado_1,Resultado de entrevista 1
resultado_2,Resultado de entrevista 2
resultado_3,Resultado de entrevista 3
resultado_4,Resultado de entrevista 4
edad,Edad del Seleccionado
sexo,Sexo del Seleccionado
meses,Meses edad
aedad,AEDAD ¿Cuántos años cumplidos tiene actualmente (NOMBRE) ?
asexo,ASEXO ¿Cuál es el sexo de (NOMBRE) ?
a0107,"Durante los últimos 12 meses, ¿ha perdido o ganado peso?"
a0109,¿Esta pérdida de peso fue intencional?
A0110A,¿Las acciones que tomó para perder peso fueron...
A0110B,¿Las acciones que tomó para perder peso fueron...
A0110C,¿Las acciones que tomó para perder peso fueron...
A0110D,¿Las acciones que tomó para perder peso fueron...
A0110E,¿Las acciones que tomó para perder peso fueron...
A0110F,¿Las acciones que tomó para perder peso fueron...
A0110G,¿Las acciones que tomó para perder peso fueron...
A0110H,¿Las acciones que tomó para perder peso fueron...
A0110I,¿Las acciones que tomó para perder peso fueron...
a01esp,Las acciones que tomé para perder peso fueron ESPECIFIQUE
a0212,Durante la última semana...¿le costaba concentrarse en lo que estaba haciendo?
a0202,"2.2 En los últimos tres meses, en un servicio de salud ¿le aplicaron algún cuestionario sobre su estado emocional o salud mental, por ejemplo, el cuestionario sobre salud del paciente (PHQ-9)?"
a0203,2.3 ¿Cuál fue el resultado del cuestionario?
a0203e,2.3 ¿Cuál fue el resultado del cuestionario? Otro (especifique)
a0205,2.5 ¿Le hicieron un diagnóstico de depresión mediante valoración clínica (Medicina o psicología)?
a0206,2.6 ¿Cuál fue el resultado?
a0206e,2.6 ¿Cuál fue el resultado? Otro (especifique)
a0301a,3.A ¿Algún médico le ha dicho que tiene/tuvo prediabetes?
a0301,¿Algún médico le ha dicho que tiene diabetes (o alta el azúcar en la sangre)?
a0302,3.2 ¿Qué edad tenía usted cuando el médico le dijo que tenía diabetes (o alta el azúcar en la sangre)?
a0303num,"En los últimos 12 meses, ¿cuántas veces y con qué frecuencia acudió al médico para controlar su diabetes (o azúcar alta en la sangre)?"
a0304d,¿Hace cuánto tiempo fue la última ocasión en la que acudió con un profesional de la salud para tratar su diabetes?
a0304m,¿Hace cuánto tiempo fue la última ocasión en la que acudió con un profesional de la salud para tratar su diabetes MESES?
a0304a,¿Hace cuánto tiempo fue la última ocasión en la que acudió con un profesional de la salud para tratar su diabetes AÑOS?
a0304b,"3.4b La última vez que acudió con el profesional de la salud para el cuidado de su diabetes, ¿cuál fue el principal motivo?"
a0304be,"3.4b La última vez que acudió con el profesional de la salud para el cuidado de su diabetes, ¿cuál fue el principal motivo? Especifique"
a0306a,"En esa última ocasión, en el lugar en donde lo(a) atendieron, ¿alguna persona revisó sus niveles de glucosa?"
a0306f,"En esa última ocasión, en el lugar en donde lo(a) atendieron, ¿alguna persona le hizo sugerencias sobre cómo aumentar su actividad física (caminar, correr, etcétera)?"
a0306g,"En esa última ocasión, en el lugar en donde lo(a) atendieron, ¿alguna persona lo invitó a participar en algún Grupo de ayuda mutua para el control de su diabetes?"
a0306l,"En esa última ocasión, en el lugar en donde lo(a) atendieron, ¿alguna persona le recetó algún medicamento o insulina para la diabetes?"
a0306m,"En esa última ocasión, en el lugar en donde lo(a) atendieron, ¿alguna persona le consiguió de manera gratuita los medicamentos recetados?"
a0306n,"En esa última ocasión, en el lugar en donde lo(a) atendieron, ¿alguna persona le dio explicaciones sobre los medicamentos recetados?"
a0306o,"En esa última ocasión, en el lugar en donde lo(a) atendieron, ¿alguna persona le midió la cintura?"
a03061b,"En los últimos 12 meses, ¿cuántas veces estuvo hospitalizado debido a su diabetes (descontrol de azúcar, problemas en el pie o en la circulación)?"
a03061c,¿Cuánto pagó la última vez que estuvo hospitalizado(a) debido a su diabetes?
a0307,¿Actualmente toma pastillas o le aplican insulina para controlar su azúcar?
a0308m,¿Cuánto tiempo tiene tomando pastillas para controlar su azúcar? meses
a0308a,¿Cuánto tiempo tiene tomando pastillas para controlar su azúcar?  años
a0310a,"Normalmente, ¿cuánto paga por sus pastillas o tratamiento de insulina para controlar su diabetes en un mes?"
a0313,En los últimos seis meses ¿Ha suspendido algun(os) de los medicamentos más de una vez a la semana?
a0313a,3.13a. Por cuánto tiempo ha dejado de tomar el medicamento
a0314,3.14 ¿Cuál fue la causa principal de haber dejado de tomar sus medicamentos?
A0314AA,3.14a Por qué razón no usa pastillas o insulina para controlar su diabetes?
A0314AB,3.14a Por qué razón no usa pastillas o insulina para controlar su diabetes?
A0314AC,3.14a Por qué razón no usa pastillas o insulina para controlar su diabetes?
A0314AD,3.14a Por qué razón no usa pastillas o insulina para controlar su diabetes?
A0314AE,3.14a Por qué razón no usa pastillas o insulina para controlar su diabetes?
A0314AF,3.14a Por qué razón no usa pastillas o insulina para controlar su diabetes?
A0314AG,3.14a Por qué razón no usa pastillas o insulina para controlar su diabetes?
A0314AH,3.14a Por qué razón no usa pastillas o insulina para controlar su diabetes?
A0312A,"Actualmente, ¿qué otro tratamiento lleva para controlar su azúcar?"
A0312B,"Actualmente, ¿qué otro tratamiento lleva para controlar su azúcar?"
A0312C,"Actualmente, ¿qué otro tratamiento lleva para controlar su azúcar?"
A0312D,"Actualmente, ¿qué otro tratamiento lleva para controlar su azúcar?"
A0315A,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
A0315B,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
A0315C,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
