Módulo,Variable,Etiqueta
Antropometría/TA,FOLIO_I,Folio
Antropometría/TA,an01_1,1. PESO AHORA VOY A PESAR A (NOMBRE) (PRIMERA MEDICIÓN)
Antropometría/TA,an01_2,1. AHORA VOY A PESAR A (NOMBRE) (SEGUNDA MEDICIÓN)
Antropometría/TA,an02,2. ¿QUE ROPA TRAÍA PUESTA (NOMBRE)?
Antropometría/TA,an03,3. RESULTADO DE LA MEDICIÓN
Antropometría/TA,an04_1,4. LONGITUD / TALLA AHORA VOY A MEDIR LA ESTATURA DE (NOMBRE) (PRIMERA MEDICIÓN)
Antropometría/TA,an04_2,4. AHORA VOY A MEDIR LA ESTATURA DE (NOMBRE) (SEGUNDA MEDICIÓN)
Antropometría/TA,an05,5. RESULTADO DE LA MEDICIÓN
Antropometría/TA,an06,6. ESTADO FISIOLÓGICO ¿Usted…
Antropometría/TA,an07,7. TIEMPO DE EMBARAZO ¿Cuántos meses tiene de embarazo?
Antropometría/TA,an08_1,8. CIRCUNFERENCIA DE CINTURA AHORA VOY A MEDIR LA CINTURA DE (NOMBRE) (PRIMERA MEDICIÓN)
Antropometría/TA,an08_2,8. AHORA VOY A MEDIR LA CINTURA DE (NOMBRE) (SEGUNDA MEDICIÓN)
Antropometría/TA,an09,9. RESULTADO DE LA MEDICIÓN
Antropometría/TA,an10,10. ¿(NOMBRE) HA PERDIDO PESO RECIENTEMENTE (EN LOS ÚLTIMOS TRES MESES)?
Antropometría/TA,an11,11. ¿(NOMBRE) TIENE ALGUNA AMPUTACIÓN?
Antropometría/TA,an12_1,12. AHORA VOY A PESAR A (NOMBRE) (PRIMERA MEDICIÓN)
Antropometría/TA,an12_2,12. AHORA VOY A PESAR A (NOMBRE) (SEGUNDA MEDICIÓN)
Antropometría/TA,an13,13. ¿QUE ROPA TRAÍA PUESTA (NOMBRE)?
Antropometría/TA,an14,14. RESULTADO DE LA MEDICIÓN
Antropometría/TA,an15_1,15. AHORA VOY A MEDIR LA ESTATURA DE (NOMBRE) (PRIMERA MEDICIÓN)
Antropometría/TA,an15_2,15. AHORA VOY A MEDIR LA ESTATURA DE (NOMBRE) (SEGUNDA MEDICIÓN)
Antropometría/TA,an16,16. RESULTADO DE LA MEDICIÓN
Antropometría/TA,an17_1,17. TALLA SENTADO A PARTIR DE ALTURA TALÓN/RODILLA Ahora voy a medir la distancia que hay entre la rodilla y su talón de (NOMBRE) (PRIMERA MEDICIÓN)
Antropometría/TA,an18,18. RESULTADO DE LA MEDICIÓN
Antropometría/TA,an19,19. CIRCUNFERENCIA DE PANTORRILA Ahora voy a medir la circunferencia de la pantorrila de (NOMBRE)
Antropometría/TA,an20,20. RESULTADO DE LA MEDICIÓN
Antropometría/TA,an21_1,21. AHORA VOY A MEDIR LA CINTURA DE  (NOMBRE) (PRIMERA MEDICIÓN)
Antropometría/TA,an21_2,21. AHORA VOY A MEDIR LA CINTURA DE  (NOMBRE) (SEGUNDA MEDICIÓN)
Antropometría/TA,an22,22. RESULTADO DE LA MEDICIÓN
Antropometría/TA,an23,23.AHORA VOY A MEDIR LA DISTANCIA DEL PECHO HACIA LA PUNTA DE SU DEDO MEDIO DE (NOMBRE) (PRIMERA MEDICIÓN)
Antropometría/TA,an24,24. RESULTADO DE LA MEDICIÓN
Antropometría/TA,an25,25.AHORA VOY A MEDIR LA CIRCUNFERENCIA MEDIA DEL BRAZO DE (NOMBRE)
Antropometría/TA,an26,26. RESULTADO DE LA MEDICIÓN
Antropometría/TA,an27_01d,27. AHORA VOY A TOMAR LA TENSIÓN ARTERIAL DE (NOMBRE) (PRIMERA MEDICIÓN) DIASTOLICA
Antropometría/TA,an27_01s,27. AHORA VOY A TOMAR LA TENSIÓN ARTERIAL DE (NOMBRE) (PRIMERA MEDICIÓN) SISTOLICA
Antropometría/TA,an27_02d,27. AHORA VOY A TOMAR LA TENSIÓN ARTERIAL DE (NOMBRE) (SEGUNDA MEDICIÓN) DIASTOLICA
Antropometría/TA,an27_02s,27. AHORA VOY A TOMAR LA TENSIÓN ARTERIAL DE (NOMBRE) (SEGUNDA MEDICIÓN) SISTOLICA
Antropometría/TA,an27_03d,27. AHORA VOY A TOMAR LA TENSIÓN ARTERIAL DE (NOMBRE) (TERCERA MEDICIÓN) DIASTOLICA
Antropometría/TA,an27_03s,27. AHORA VOY A TOMAR LA TENSIÓN ARTERIAL DE (NOMBRE) (TERCERA MEDICIÓN)  SISTOLICA
Antropometría/TA,an28,28. HORA DE TOMA DE TENSIÓN ARTERIAL
Antropometría/TA,an29,29. BRAZO EN EL QUE SE LE REALIZÓ LA MEDICIÓN DE LA TENSIÓN ARTERIAL
Antropometría/TA,an30,30. RESULTADO DE LA MEDICIÓN
Antropometría/TA,comentario,¿Algún comentario de la entrevista?
Antropometría/TA,completa,Resultado de Entrevista
Antropometría/TA,desc_ent,DESC_ENT
