Módulo,Variable,Etiqueta
Antropometría/TA,FOLIO_I,Folio
Antropometría/TA,an01_1,1. PESO AHORA VOY A PESAR A (NOMBRE) (PRIMERA MEDICIÓN)
Antropometría/TA,an01_2,1. AHORA VOY A PESAR A (NOMBRE) (SEGUNDA MEDICIÓN)
Antropometría/TA,an03,3. RESULTADO DE LA MEDICIÓN
Antropometría/TA,an04_1,4. LONGITUD / TALLA AHORA VOY A MEDIR LA ESTATURA DE (NOMBRE) (PRIMERA MEDICIÓN)
Antropometría/TA,an04_2,4. AHORA VOY A MEDIR LA ESTATURA DE (NOMBRE) (SEGUNDA MEDICIÓN)
Antropometría/TA,an05,5. RESULTADO DE LA MEDICIÓN
Antropometría/TA,an08_1,8. CIRCUNFERENCIA DE CINTURA AHORA VOY A MEDIR LA CINTURA DE (NOMBRE) (PRIMERA MEDICIÓN)
Antropometría/TA,an08_2,8. AHORA VOY A MEDIR LA CINTURA DE (NOMBRE) (SEGUNDA MEDICIÓN)
Antropometría/TA,an09,9. RESULTADO DE LA MEDICIÓN
Antropometría/TA,an10,10. ¿(NOMBRE) HA PERDIDO PESO RECIENTEMENTE (EN LOS ÚLTIMOS TRES MESES)?
Antropometría/TA,an11,11. ¿(NOMBRE) TIENE ALGUNA AMPUTACIÓN?
Antropometría/TA,entidad,Entidad
Antropometría/TA,imc,Indice de Masa Corporal
Antropometría/TA,meses,Meses edad
Antropometría/TA,municipio,Municipio
Antropometría/TA,reporte_imc,Reporte IMC
Antropometría/TA,x_region,Region
Salud adultos,FOLIO_I,Folio
Salud adultos,a0107,"Durante los últimos 12 meses, ¿ha perdido o ganado peso?"
Salud adultos,a0108,¿Cuántos kilos fueron los que ganó (perdió)?
Salud adultos,a0109,¿Esta pérdida de peso fue intencional?
Salud adultos,a0301,¿Algún médico le ha dicho que tiene diabetes (o alta el azúcar en la sangre)?
Salud adultos,a0301a,3.A ¿Algún médico le ha dicho que tiene/tuvo prediabetes?
Salud adultos,a0302,3.2 ¿Qué edad tenía usted cuando el médico le dijo que tenía diabetes (o alta el azúcar en la sangre)?
Salud adultos,a0303num,"En los últimos 12 meses, ¿cuántas veces y con qué frecuencia acudió al médico para controlar su diabetes (o azúcar alta en la sangre)?"
Salud adultos,a0304a,¿Hace cuánto tiempo fue la última ocasión en la que acudió con un profesional de la salud para tratar su diabetes AÑOS?
Salud adultos,a0304d,¿Hace cuánto tiempo fue la última ocasión en la que acudió con un profesional de la salud para tratar su diabetes?
Salud adultos,a0304m,¿Hace cuánto tiempo fue la última ocasión en la que acudió con un profesional de la salud para tratar su diabetes MESES?
Salud adultos,a0305,"En esa última ocasión, ¿en dónde se atendió?"
Salud adultos,a0305esp,"En esa última ocasión, ¿en dónde se atendió? Especifique"
Salud adultos,a0306a,"En esa última ocasión, en el lugar en donde lo(a) atendieron, ¿alguna persona revisó sus niveles de glucosa?"
Salud adultos,a0306b,"En esa última ocasión, en el lugar en donde lo(a) atendieron, ¿alguna persona le tomó la tensión arterial?"
Salud adultos,a0306c,"En esa última ocasión, en el lugar en donde lo(a) atendieron, ¿alguna persona lo(a) pesó?"
Salud adultos,a0306e,"En esa última ocasión, en el lugar en donde lo(a) atendieron, ¿alguna persona le hizo sugerencias sobre su forma de alimentarse?"
Salud adultos,a0306f,"En esa última ocasión, en el lugar en donde lo(a) atendieron, ¿alguna persona le hizo sugerencias sobre cómo aumentar su actividad física (caminar, correr, etcétera)?"
Salud adultos,a0307,¿Actualmente toma pastillas o le aplican insulina para controlar su azúcar?
Salud adultos,a0308a,¿Cuánto tiempo tiene tomando pastillas para controlar su azúcar?  años
Salud adultos,a0308m,¿Cuánto tiempo tiene tomando pastillas para controlar su azúcar? meses
Salud adultos,a0309a,¿Hace cuánto tiempo inició el tratamiento con insulina? Años
Salud adultos,a0309m,¿Hace cuánto tiempo inició el tratamiento con insulina? Meses
Salud adultos,a0310,¿Se aplica insulina todos los días?
Salud adultos,a0310a,"Normalmente, ¿cuánto paga por sus pastillas o tratamiento de insulina para controlar su diabetes en un mes?"
Salud adultos,a0313,En los últimos seis meses ¿Ha suspendido algun(os) de los medicamentos más de una vez a la semana?
Salud adultos,a0313a,3.13a. Por cuánto tiempo ha dejado de tomar el medicamento
Salud adultos,a0314,3.14 ¿Cuál fue la causa principal de haber dejado de tomar sus medicamentos?
Salud adultos,a0316a,¿Debido a la diabetes ha tenido úlceras en piernas o pies?
Salud adultos,a0316b,¿Debido a la diabetes le han amputado alguna parte del cuerpo?
Salud adultos,a0316d,¿Debido a la diabetes ha perdido la vista?
Salud adultos,entidad,Entidad
Salud adultos,meses,Meses edad
Salud adultos,municipio,Municipio/Alcaldia
Salud adultos,x_region,Region sugerida para el analisis
